t=1789112856.231s wall=1789112846231ms | player_A: 1070ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.263s wall=1789112846263ms | player_A: 1101ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.294s wall=1789112846294ms | player_A: 1133ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.326s wall=1789112846326ms | player_A: 1165ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.359s wall=1789112846359ms | player_A: 1198ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.394s wall=1789112846394ms | player_A: 1233ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.433s wall=1789112846433ms | player_A: 1272ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.467s wall=1789112846467ms | player_A: 1306ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.500s wall=1789112846500ms | player_A: 1338ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.545s wall=1789112846545ms | player_A: 1384ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.589s wall=1789112846589ms | player_A: 1428ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.615s wall=1789112846615ms | player_A: 1454ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.715s wall=1789112846715ms | player_A: 1554ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.745s wall=1789112846745ms | player_A: 1584ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.777s wall=1789112846777ms | player_A: 1615ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.807s wall=1789112846807ms | player_A: 1646ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.839s wall=1789112846839ms | player_A: 1677ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.870s wall=1789112846870ms | player_A: 1709ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.901s wall=1789112846901ms | player_A: 1740ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.932s wall=1789112846932ms | player_A: 1771ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.963s wall=1789112846963ms | player_A: 1802ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.995s wall=1789112846995ms | player_A: 1834ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.025s wall=1789112847025ms | player_A: 1864ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.056s wall=1789112847056ms | player_A: 1895ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.090s wall=1789112847090ms | player_A: 1928ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.123s wall=1789112847123ms | player_A: 1962ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.156s wall=1789112847156ms | player_A: 1995ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.188s wall=1789112847188ms | player_A: 2027ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.220s wall=1789112847220ms | player_A: 2059ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.252s wall=1789112847252ms | player_A: 2091ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.285s wall=1789112847285ms | player_A: 2124ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.316s wall=1789112847316ms | player_A: 2155ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.348s wall=1789112847348ms | player_A: 2187ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.381s wall=1789112847381ms | player_A: 2220ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.413s wall=1789112847413ms | player_A: 2252ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.445s wall=1789112847445ms | player_A: 2284ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.477s wall=1789112847477ms | player_A: 2316ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.510s wall=1789112847510ms | player_A: 2349ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.541s wall=1789112847541ms | player_A: 2380ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.571s wall=1789112847571ms | player_A: 2410ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.603s wall=1789112847603ms | player_A: 2442ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.636s wall=1789112847636ms | player_A: 2475ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.668s wall=1789112847668ms | player_A: 2507ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.703s wall=1789112847703ms | player_A: 2542ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.736s wall=1789112847736ms | player_A: 2575ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.767s wall=1789112847767ms | player_A: 2606ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
